"","d","a","b","cmgnl"
"279",0.378268650514823,4,12,-0.426504804273891
"280",0.377586487298632,17,1,0.891215341020587
"281",0.377239388117975,2,26,-0.326870027597071
"282",0.375707278558671,35,11,-0.0559327723685469
"283",0.375509030324897,4,22,0.166214338582849
"284",0.375488900043872,19,11,0.302025708900874
"285",0.375271222316495,17,29,0.590496497409214
"286",0.374487178701902,29,7,0.369011295770851
"287",0.374370959962796,13,27,-0.081596080663078
"288",0.3732927905716,16,13,0.923737784610784
"289",0.373122600738396,14,16,-0.361693314848796
"290",0.373075319275555,18,26,-0.164447592001609
"291",0.373049916786185,35,20,0.207754292098958
